customer_id,total_order_value,basket_size,purchase_frequency,age,Cluster
128,7325.599999999999,9.0,4,47,1
129,9225.7,6.0,3,44,1
130,23944.739999999998,6.833333333333333,6,40,1
131,13490.42,7.333333333333333,3,11,1
132,42799.42,6.833333333333333,12,67,0
133,4181.08,5.0,2,47,2
134,7712.72,6.2,5,74,2
135,27221.760000000002,7.5,4,18,1
136,30532.690000000002,8.333333333333334,6,71,0
137,11901.73,7.6,5,60,2
138,4790.52,6.666666666666667,3,69,2
139,8775.619999999999,7.333333333333333,3,10,1
140,33111.74,6.625,8,4,0
141,25875.68,6.555555555555555,9,7,0
142,22260.72,7.2,5,75,2
143,11834.41,5.0,5,69,2
144,39630.979999999996,7.888888888888889,9,59,0
145,20727.55,6.8,5,64,2
146,23088.440000000002,7.333333333333333,6,12,1
147,12575.560000000001,7.0,4,41,1
148,13198.91,8.75,4,23,1
149,33938.53,7.0,9,17,0
150,5185.450000000001,8.333333333333334,3,18,1
151,17788.06,6.5,4,70,2
152,21310.68,7.428571428571429,7,94,2
153,12295.77,6.75,4,52,2
154,23951.48,7.4,5,50,1
155,17150.37,6.333333333333333,3,91,2
156,32438.149999999998,7.625,8,74,0
157,15069.18,7.2,5,51,1
158,12563.3,7.333333333333333,3,18,1
159,29162.39,7.8,5,26,1
160,15535.07,6.8,5,87,2
161,43834.76,7.363636363636363,11,40,0
162,15763.119999999999,4.5,8,60,2
163,2251.62,6.0,5,38,1
164,24295.809999999998,5.666666666666667,9,29,0
165,18378.1,9.0,4,22,1
166,32456.58,7.666666666666667,6,40,0
167,21187.06,8.8,5,7,1
168,12291.8,6.285714285714286,7,74,2
169,9201.080000000002,5.0,3,51,2
170,11057.36,8.333333333333334,3,38,1
171,35897.69,8.142857142857142,7,24,0
172,23116.83,7.5,6,60,2
173,21187.85,5.9,10,57,0
174,21656.33,7.0,6,67,2
175,18655.53,7.666666666666667,6,75,2
176,40519.81,8.428571428571429,7,72,0
177,21870.02,6.8,5,12,1
178,22368.670000000002,7.4,5,36,1
179,26069.59,6.75,8,76,0
180,7024.08,7.5,2,51,1
181,19192.79,8.333333333333334,3,4,1
182,23256.42,9.5,6,84,2
183,11805.98,6.666666666666667,3,48,1
184,28499.27,7.375,8,68,0
185,21962.59,6.375,8,20,1
186,25052.940000000002,5.777777777777778,9,10,0
187,8107.01,7.25,4,36,1
188,9565.51,6.5,4,76,2
189,30017.45,7.285714285714286,7,56,0
190,30858.52,7.571428571428571,7,16,0
191,9184.810000000001,6.8,5,34,1
192,26114.4,5.714285714285714,7,65,0
193,31857.219999999998,7.714285714285714,7,81,0
194,20555.82,7.333333333333333,6,57,2
195,21424.97,6.833333333333333,6,41,1
196,15812.789999999999,7.25,4,84,2
197,20993.14,5.75,8,66,0
198,33241.61,7.333333333333333,9,58,0
199,19001.41,6.2,5,54,2
200,22898.97,7.2,5,68,2
201,15588.96,8.75,4,78,2
202,9317.49,8.25,4,40,1
203,18773.72,7.2,5,80,2
204,11737.65,7.2,5,63,2
205,29189.43,8.428571428571429,7,78,0
206,48324.72,7.166666666666667,12,69,0
207,27085.760000000002,5.4,10,29,0
208,27431.39,8.142857142857142,7,8,0
209,27876.850000000002,6.333333333333333,6,99,2
210,22019.06,7.0,5,97,2
211,20319.96,7.25,4,57,2
212,34186.3,9.333333333333334,6,66,0
213,21601.83,5.888888888888889,9,61,0
214,23378.579999999998,5.833333333333333,6,56,2
215,13967.130000000001,9.666666666666666,3,19,1
216,9810.5,5.5,2,88,2
217,9058.05,6.333333333333333,6,8,1
218,23840.059999999998,7.0,6,29,1
219,5162.19,6.333333333333333,3,78,2
220,11445.41,7.285714285714286,7,90,2
221,16733.35,8.25,4,77,2
222,7624.349999999999,7.0,4,71,2
223,27710.64,7.142857142857143,7,23,0
224,19031.39,6.142857142857143,7,14,1
225,1280.04,3.0,3,99,2
226,18291.66,7.0,5,6,1
227,14769.73,7.8,5,11,1
228,28068.68,7.333333333333333,9,78,0
229,13883.7,5.8,5,100,2
230,33356.6,7.875,8,55,0
231,13401.18,5.4,5,12,1
232,10728.46,8.25,4,96,2
233,18390.739999999998,8.0,3,51,1
234,25909.85,7.285714285714286,7,86,0
235,8113.65,5.0,3,17,1
236,18694.45,8.0,5,87,2
237,19075.38,8.4,5,27,1
238,35070.89,7.0,9,88,0
239,28115.800000000003,7.0,5,84,2
240,41609.07,7.666666666666667,12,42,0
241,13199.62,8.5,4,10,1
242,16861.86,6.0,4,51,2
243,24899.940000000002,8.166666666666666,6,20,1
244,21237.7,7.0,6,90,2
245,42586.76,7.0,10,1,0
246,5438.42,4.25,4,19,1
247,22534.98,8.6,5,90,2
248,20077.78,7.5,4,90,2
249,15054.060000000001,5.5,6,74,2
250,14512.23,5.833333333333333,6,90,2
251,20393.559999999998,6.142857142857143,7,45,1
252,16825.07,7.6,5,83,2
253,10395.73,8.5,4,90,2
254,15239.699999999999,5.714285714285714,7,74,2
255,21310.58,5.875,8,49,0
256,23102.07,7.4,5,66,2
257,17059.3,5.166666666666667,6,66,2
258,15978.86,8.0,4,69,2
259,22013.309999999998,7.0,6,4,1
260,16510.07,5.111111111111111,9,71,2
261,33292.62,6.7272727272727275,11,30,0
262,22243.32,7.166666666666667,6,20,1
263,16940.09,5.571428571428571,7,39,1
264,41702.3,7.8,10,74,0
265,25949.719999999998,6.428571428571429,7,75,0
266,25051.02,7.25,8,51,0
267,19420.67,5.875,8,15,1
268,23575.62,8.333333333333334,6,40,1
269,9945.6,5.666666666666667,3,16,1
270,33107.74,7.5,8,84,0
271,14833.63,6.2,5,32,1
272,20262.739999999998,9.5,4,27,1
273,15009.29,6.125,8,91,2
274,29606.88,6.285714285714286,7,46,0
275,23801.37,8.0,5,20,1
276,12645.16,7.8,5,48,1
277,30700.59,7.875,8,26,0
278,18306.8,6.625,8,100,2
279,33857.6,7.285714285714286,7,2,0
280,30263.579999999998,7.666666666666667,9,44,0
281,21314.99,5.833333333333333,6,67,2
282,26397.77,7.0,6,21,1
283,37765.9,6.333333333333333,9,63,0
284,13248.26,7.2,5,67,2
285,47950.28,7.875,8,78,0
286,38825.090000000004,7.444444444444445,9,28,0
287,10432.3,7.25,4,9,1
288,20942.33,8.8,5,46,1
289,12883.21,7.8,5,24,1
290,3506.47,7.333333333333333,3,45,1
291,18076.5,5.5,4,41,1
292,21441.48,7.0,6,44,1
293,37088.2,7.5,12,63,0
294,11274.58,7.0,3,97,2
295,15539.06,7.8,5,87,2
296,15580.61,5.666666666666667,3,57,2
297,28303.53,7.0,6,76,2
298,7606.89,7.333333333333333,3,22,1
299,17927.4,6.8,5,9,1
300,21980.85,5.666666666666667,6,20,1
301,12611.79,8.75,4,79,2
302,41326.38,7.5,10,53,0
303,28868.55,7.25,8,83,0
304,19112.29,6.8,5,74,2
305,14070.259999999998,6.5,4,30,1
306,22919.39,8.2,5,92,2
307,22289.010000000002,7.428571428571429,7,50,0
308,15702.72,7.2,5,80,2
309,25135.04,6.833333333333333,6,30,1
310,38896.1,8.0,6,80,0
311,17358.64,5.5,6,42,1
312,17621.940000000002,7.0,3,43,1
313,2322.7,5.666666666666667,3,53,2
314,21495.480000000003,4.75,8,2,1
315,26966.21,7.857142857142857,7,2,1
316,18210.97,6.5,4,94,2
317,24539.77,6.666666666666667,6,61,2
318,19317.989999999998,7.285714285714286,7,48,1
319,35339.1,7.666666666666667,6,73,0
320,46707.11,7.8,10,39,0
321,18095.690000000002,8.6,5,4,1
322,18757.17,5.0,7,80,2
323,28363.85,7.333333333333333,6,86,2
324,23116.82,8.2,5,99,2
325,37217.130000000005,7.625,8,28,0
326,12673.9,7.0,5,60,2
327,43063.84,8.0,7,83,0
328,9120.95,5.5,4,61,2
329,28603.86,6.0,11,49,0
330,17678.670000000002,6.4,5,11,1
331,23751.59,5.625,8,33,0
332,23041.77,5.666666666666667,6,70,2
333,29500.57,7.8,5,59,0
334,9964.73,7.0,4,100,2
335,22763.460000000003,6.5,6,86,2
336,37614.62,7.0,11,46,0
337,31778.13,8.0,9,89,0
338,29368.86,6.5,8,69,0
339,12273.660000000002,6.333333333333333,3,79,2
340,5346.38,6.0,4,10,1
341,11705.58,4.25,4,22,1
342,21074.17,7.4,5,30,1
343,19093.95,8.75,4,97,2
344,10612.25,6.25,4,36,1
345,23332.64,7.0,7,55,0
346,42426.65,7.2727272727272725,11,98,0
347,28573.78,5.666666666666667,9,18,0
348,33005.56,8.25,8,32,0
349,9852.14,7.666666666666667,3,89,2
350,41565.09,7.111111111111111,9,36,0
351,28642.12,6.8,5,86,2
352,5808.1,10.0,1,45,1
353,19984.03,6.6,5,5,1
354,8313.5,5.2,5,21,1
355,20830.15,5.625,8,46,0
356,37513.51,8.125,8,73,0
357,22270.99,7.166666666666667,6,75,2
358,21265.09,6.75,4,55,2
359,33155.990000000005,8.25,8,84,0
360,31459.28,6.428571428571429,7,53,0
361,28845.27,7.571428571428571,7,5,0
362,29001.38,7.125,8,53,0
363,40314.55,6.444444444444445,9,85,0
364,8493.39,5.75,4,14,1
365,22600.23,6.4,5,77,2
366,16636.29,7.5,6,41,1
367,20203.08,6.333333333333333,6,69,2
368,27436.06,6.375,8,72,0
369,20115.53,9.25,4,89,2
370,27501.47,6.375,8,59,0
371,24510.05,5.6,10,94,0
372,12047.67,4.4,5,16,1
373,7138.5599999999995,5.666666666666667,3,42,1
374,31394.83,6.2,10,12,0
375,38638.02,8.5,8,95,0
376,23890.94,7.2,5,18,1
377,34156.79,8.142857142857142,7,89,0
378,16784.71,5.666666666666667,6,90,2
379,8647.36,4.666666666666667,3,89,2
380,5800.83,8.333333333333334,3,14,1
381,25821.37,7.833333333333333,6,18,1
382,9659.17,8.5,4,90,2
383,13187.67,5.75,4,37,1
384,25965.39,6.333333333333333,6,9,1
385,36699.08,6.181818181818182,11,66,0
386,37802.24,7.222222222222222,9,83,0
387,14832.45,7.833333333333333,6,16,1
388,19353.68,5.2,5,31,1
389,27417.79,6.571428571428571,7,24,0
390,18635.42,6.8,5,85,2
391,29218.56,8.166666666666666,6,11,1
392,26806.4,8.6,5,52,0
393,19223.95,7.0,4,7,1
394,36012.69,7.375,8,50,0
395,17535.92,7.0,4,58,2
396,35063.39,7.857142857142857,7,95,0
397,21486.32,6.714285714285714,7,53,0
398,24514.59,7.5,6,70,2
399,15184.01,7.5,4,25,1
400,25724.76,7.0,7,38,0
401,23979.62,6.6,10,69,0
402,28267.809999999998,6.875,8,10,0
403,14120.21,7.0,4,38,1
404,24756.48,7.0,6,45,1
405,21317.23,8.8,5,60,2
406,14932.720000000001,5.333333333333333,6,13,1
407,12374.45,5.0,7,5,1
408,18078.06,6.833333333333333,6,47,1
409,31959.699999999997,7.5,8,26,0
410,10820.060000000001,5.625,8,47,1
411,19834.27,6.0,6,59,2
412,8623.83,6.25,4,67,2
413,20885.739999999998,6.571428571428571,7,1,1
414,19243.7,6.5,6,64,2
415,25494.74,7.125,8,90,0
416,29548.41,6.75,8,13,0
417,9091.15,5.333333333333333,3,82,2
418,27731.08,7.333333333333333,6,27,1
419,18469.059999999998,8.8,5,42,1
420,29720.940000000002,7.333333333333333,6,15,1
421,22075.64,7.375,8,44,0
422,21211.760000000002,6.285714285714286,7,57,2
423,16534.8,7.166666666666667,6,77,2
424,21994.8,7.2,5,29,1
425,5790.65,5.0,2,1,1
426,9992.59,4.5,4,75,2
427,13375.539999999999,6.0,5,19,1
428,8394.07,4.333333333333333,3,62,2
429,25960.29,7.25,8,2,0
430,6234.48,8.0,1,72,2
431,22999.239999999998,7.0,6,91,2
432,14569.8,7.0,4,89,2
433,24363.38,7.6,5,19,1
434,21811.39,6.2727272727272725,11,87,0
435,22146.51,7.166666666666667,6,2,1
436,19980.63,5.888888888888889,9,46,0
437,37574.06,8.285714285714286,7,83,0
438,30375.17,7.285714285714286,7,11,0
439,13340.11,5.428571428571429,7,30,1
440,8907.64,5.0,4,64,2
441,29688.71,8.2,5,61,0
442,11935.6,7.0,4,16,1
443,10981.23,6.6,5,95,2
444,6504.75,5.0,3,94,2
445,13466.41,5.666666666666667,6,72,2
446,19241.55,7.166666666666667,6,76,2
447,30116.95,7.285714285714286,7,8,0
448,27034.72,7.666666666666667,6,47,0
449,1724.9099999999999,3.5,2,87,2
450,41455.7,7.090909090909091,11,89,0
451,4487.2,6.5,2,42,1
452,26045.55,7.625,8,76,0
453,16838.620000000003,6.6,5,22,1
454,21866.64,6.6,5,34,1
455,23251.25,6.428571428571429,7,71,2
456,13496.560000000001,8.2,5,80,2
457,3798.42,2.6666666666666665,3,94,2
458,8352.65,6.25,4,48,1
459,13776.4,7.5,4,35,1
460,22507.4,6.4,10,34,0
461,35246.36,7.5,8,5,0
462,11533.77,7.0,5,97,2
463,15290.46,8.6,5,66,2
464,18941.04,7.0,6,75,2
465,27253.28,9.25,4,65,2
466,8010.78,7.333333333333333,3,41,1
467,34042.72,7.125,8,71,0
468,22652.5,6.166666666666667,6,63,2
469,32283.66,6.857142857142857,7,42,0
470,17786.59,8.0,4,42,1
471,25789.8,7.875,8,98,0
472,16158.33,8.666666666666666,6,97,2
473,24002.28,8.2,5,55,2
474,11684.75,7.0,4,95,2
475,21497.08,6.666666666666667,6,41,1
476,29713.41,6.444444444444445,9,76,0
477,30033.6,6.0,7,23,0
478,20026.989999999998,7.6,5,85,2
479,17279.64,6.75,4,44,1
480,12429.210000000001,6.5,2,2,1
481,22527.739999999998,7.4,5,69,2
482,6507.21,7.0,3,98,2
483,14366.529999999999,5.833333333333333,6,32,1
484,15571.63,5.8,5,52,2
485,20750.260000000002,6.0,6,11,1
486,13015.22,4.166666666666667,6,7,1
487,9517.41,6.0,3,19,1
488,37556.9,7.0,11,13,0
489,13096.48,7.0,6,11,1
490,13713.88,7.75,4,91,2
491,7314.72,8.25,4,100,2
492,5869.36,9.0,3,66,2
493,13559.79,5.4,5,66,2
494,8803.79,4.0,5,34,1
495,10435.78,3.2,5,6,1
496,18833.37,8.75,4,38,1
497,14511.68,6.428571428571429,7,15,1
498,7637.86,7.75,4,7,1
499,13715.220000000001,6.333333333333333,6,61,2
500,13243.21,8.0,3,54,2
501,24355.82,8.166666666666666,6,42,0
502,20977.4,6.666666666666667,6,10,1
503,21158.93,6.5,8,17,1
504,46326.08,7.333333333333333,9,86,0
505,16810.17,6.2,5,97,2
506,16528.61,6.5,8,61,2
507,22988.48,7.2,5,68,2
508,22068.04,5.428571428571429,7,100,2
509,28519.71,6.625,8,14,0
510,32436.73,8.833333333333334,6,82,0
511,21607.63,6.8,5,75,2
512,23153.81,6.333333333333333,6,100,2
513,7115.41,5.75,4,59,2
514,17730.25,6.333333333333333,6,43,1
515,28287.5,7.0,8,98,0
516,12676.25,5.666666666666667,3,85,2
517,14534.23,6.166666666666667,6,69,2
518,31957.22,8.0,8,64,0
519,15625.27,7.4,5,39,1
520,16739.760000000002,8.0,5,58,2
521,16025.08,6.2,5,3,1
522,12925.41,6.166666666666667,6,41,1
523,25786.38,5.0,9,58,0
524,31962.11,8.666666666666666,6,42,0
525,16212.23,8.0,3,10,1
526,13047.89,4.0,6,67,2
527,41213.85,8.333333333333334,9,62,0
528,39995.94,8.285714285714286,7,63,0
529,9786.04,8.0,4,58,2
530,19570.440000000002,7.4,5,26,1
531,14097.96,5.8,5,76,2
532,15045.89,8.5,6,58,2
533,40861.41,7.363636363636363,11,52,0
534,35002.33,6.444444444444445,9,98,0
535,22530.280000000002,6.857142857142857,7,56,0
536,8751.19,6.0,4,99,2
537,7183.5,7.25,4,36,1
538,12564.33,6.5,6,94,2
539,16697.28,7.666666666666667,3,36,1
540,12252.88,5.4,5,54,2
541,5337.370000000001,5.0,3,23,1
542,22809.04,6.0,9,51,0
543,40983.45,7.3,10,76,0
544,33456.15,7.2727272727272725,11,2,0
545,17720.82,9.0,3,70,2
546,19544.83,6.6,5,6,1
547,4812.0199999999995,5.0,3,68,2
548,28523.79,7.333333333333333,6,20,1
549,24706.06,7.333333333333333,9,38,0
550,13831.13,6.833333333333333,6,14,1
551,38258.74,9.833333333333334,6,71,0
552,8461.04,6.5,4,58,2
553,20567.989999999998,7.666666666666667,6,75,2
554,35574.259999999995,8.333333333333334,9,29,0
555,6619.59,5.8,5,44,1
556,15129.83,6.8,5,50,1
557,17940.879999999997,7.0,4,38,1
558,37351.42,8.25,8,10,0
559,22509.99,8.4,5,29,1
560,13579.21,6.4,5,54,2
561,23623.39,8.4,5,25,1
562,7813.66,7.0,2,65,2
563,23657.04,8.2,5,89,2
564,30693.95,7.5,6,10,1
565,36149.36,7.4,10,83,0
566,22446.559999999998,5.666666666666667,6,51,2
567,30466.62,8.666666666666666,6,20,0
568,19725.03,4.5,6,98,2
569,15705.71,7.25,4,66,2
570,36332.17,7.363636363636363,11,62,0
571,27355.38,8.0,7,11,0
572,12616.27,6.75,4,55,2
573,27174.47,6.2,10,46,0
574,19331.84,6.166666666666667,6,22,1
575,30906.96,7.428571428571429,7,64,0
576,30993.12,7.333333333333333,9,8,0
577,24632.86,6.090909090909091,11,38,0
578,35322.06,8.11111111111111,9,98,0
579,22283.93,6.4,5,60,2
580,17851.77,6.4,5,58,2
581,5487.4400000000005,7.0,2,27,1
582,3363.75,7.5,2,55,2
583,29808.73,7.875,8,26,0
584,25120.29,8.0,7,2,1
585,28714.86,7.111111111111111,9,59,0
586,27965.6,6.4,5,63,2
587,14145.330000000002,8.333333333333334,6,64,2
588,19034.5,7.166666666666667,6,77,2
589,12914.12,4.8,5,43,1
590,17965.87,7.714285714285714,7,93,2
591,18477.11,7.25,4,42,1
592,10578.93,7.0,5,46,1
593,9300.57,5.166666666666667,6,53,2
594,7370.639999999999,6.4,5,29,1
595,29791.64,8.2,5,84,2
596,27619.18,6.375,8,57,0
597,8820.11,6.666666666666667,3,22,1
598,29720.54,6.875,8,42,0
599,589.69,1.0,1,86,2
600,34759.14,6.875,8,94,0
601,32950.78,6.375,8,63,0
602,27730.48,7.0,8,98,0
603,38056.880000000005,7.7,10,48,0
604,16103.630000000001,6.333333333333333,6,96,2
605,15460.86,6.166666666666667,6,59,2
606,23952.49,7.6,5,21,1
607,29166.43,5.909090909090909,11,99,0
608,13489.93,6.125,8,38,1
609,33205.990000000005,7.833333333333333,6,7,0
610,25081.2,8.2,5,62,2
611,24131.1,6.714285714285714,7,62,0
612,17614.8,5.6,5,89,2
613,48026.71,7.4,10,13,0
614,11473.69,5.75,4,19,1
615,22273.99,7.666666666666667,6,65,2
616,13536.91,6.5,4,15,1
617,2171.43,3.0,1,72,2
618,7387.28,7.0,6,32,1
619,20755.84,7.5,6,11,1
620,37408.26,7.428571428571429,7,81,0
621,41160.95,7.0,7,17,0
622,27104.39,6.9,10,46,0
623,25000.12,6.571428571428571,7,56,0
624,26309.28,6.75,8,89,0
625,23597.14,8.166666666666666,6,15,1
626,23775.300000000003,7.8,5,4,1
627,28232.59,7.285714285714286,7,92,0
628,11002.59,5.4,5,45,1
629,1074.89,4.5,2,86,2
630,26164.13,5.3,10,49,0
631,6688.719999999999,8.0,4,19,1
632,24474.51,6.666666666666667,9,91,0
633,33493.25,7.444444444444445,9,100,0
634,19882.370000000003,8.8,5,24,1
635,13181.51,7.333333333333333,3,48,1
636,23641.47,6.0,7,29,1
637,15031.41,7.2,5,89,2
638,14498.91,4.75,8,28,1
639,16485.31,4.666666666666667,6,95,2
640,21807.08,7.333333333333333,6,95,2
641,14378.84,6.428571428571429,7,28,1
642,24021.14,6.8,5,32,1
643,23773.13,5.75,8,35,0
644,3895.95,4.25,4,99,2
645,26706.370000000003,7.2,5,2,1
646,20600.57,6.0,4,7,1
647,36837.09,7.333333333333333,9,1,0
648,19710.86,8.0,4,99,2
649,17052.94,5.2,5,89,2
650,19445.33,6.2,5,48,1
651,7059.19,7.333333333333333,3,97,2
652,17157.6,7.166666666666667,6,51,1
653,14998.970000000001,5.25,4,68,2
654,33307.95,6.444444444444445,9,86,0
655,36146.84,8.714285714285714,7,38,0
656,17153.92,9.0,4,73,2
657,6933.24,4.0,4,51,2
658,32754.46,6.888888888888889,9,80,0
659,3736.8199999999997,4.666666666666667,3,6,1
660,3005.28,5.5,2,27,1
661,20058.57,6.6,5,24,1
662,20891.89,7.666666666666667,6,81,2
663,16882.5,7.375,8,25,1
664,14269.38,6.0,4,21,1
665,26843.34,6.571428571428571,7,39,0
666,25665.690000000002,6.222222222222222,9,12,0
667,29871.7,5.75,8,63,0
668,29881.47,7.0,5,66,2
669,13332.08,6.8,5,89,2
670,18863.22,8.6,5,31,1
671,26317.17,7.857142857142857,7,41,0
672,16419.72,6.714285714285714,7,52,2
673,24269.1,7.285714285714286,7,6,1
674,20070.79,6.5,8,99,2
675,17148.38,7.25,4,69,2
676,30100.63,8.0,7,29,0
677,4298.2300000000005,7.0,3,50,1
678,8285.13,5.666666666666667,6,73,2
679,11110.17,7.0,3,67,2
680,21245.85,7.166666666666667,6,25,1
681,8830.72,6.25,4,10,1
682,25638.7,6.8,5,5,1
683,8420.52,7.0,5,63,2
684,22900.15,7.428571428571429,7,25,1
685,19578.32,7.4,5,83,2
686,18636.64,7.0,4,41,1
687,32629.64,8.142857142857142,7,76,0
688,9290.75,5.0,2,72,2
689,10040.49,5.2,5,78,2
690,41598.17,7.111111111111111,9,4,0
691,18428.6,7.333333333333333,6,69,2
692,21499.06,5.166666666666667,6,10,1
693,14469.69,7.75,4,37,1
694,14073.789999999999,4.25,4,17,1
695,18712.760000000002,4.181818181818182,11,74,0
696,12996.36,9.0,2,14,1
697,37694.32,6.555555555555555,9,33,0
698,4544.75,5.75,4,61,2
699,7880.139999999999,6.333333333333333,3,11,1
700,20834.27,6.666666666666667,6,2,1
701,31030.61,8.222222222222221,9,99,0
702,10576.91,6.333333333333333,6,93,2
703,13048.74,7.0,4,88,2
704,30862.42,7.714285714285714,7,12,0
705,12786.99,7.2,5,1,1
706,11260.2,8.333333333333334,3,65,2
707,16397.46,6.333333333333333,6,15,1
708,13102.44,5.25,4,18,1
709,17485.940000000002,7.0,4,79,2
710,23773.21,6.833333333333333,6,71,2
711,17834.809999999998,5.166666666666667,6,73,2
712,20534.5,8.5,4,63,2
713,27167.8,6.333333333333333,6,91,2
714,19495.17,8.333333333333334,6,13,1
715,6919.08,4.0,4,22,1
716,12716.48,7.6,5,16,1
717,20151.3,6.5,6,13,1
718,16712.33,6.142857142857143,7,51,2
719,17330.620000000003,7.6,5,57,2
720,13296.630000000001,6.0,5,67,2
721,12750.07,6.0,6,12,1
722,2093.22,5.0,2,64,2
723,17576.11,7.25,4,36,1
724,8033.49,5.333333333333333,3,2,1
725,14236.09,7.0,5,7,1
726,26099.649999999998,8.0,6,14,1
727,23667.86,8.2,5,52,1
728,37260.4,7.5,8,72,0
729,6357.18,8.0,2,9,1
730,13194.71,6.8,5,2,1
731,31375.6,8.333333333333334,9,4,0
732,38328.66,6.0,12,25,0
733,24765.79,7.25,8,81,0
734,37376.62,7.5,6,19,0
